"MSSubClass","MSZoning","LotFrontage","LotArea","Street","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","MoSold","YrSold","SaleType","SaleCondition"
120,"FV",48.5508203224758,4765,"Pave","IR1","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","TwnhsE","1Story",9,5,2000,2000,"Hip","CompShg","MetalSd","MetalSd","BrkFace",260,"Gd","TA","PConc","Gd","TA","Av","GLQ",1027,"Unf",0,587,1614,"GasA","Ex","Y","SBrkr",1638,0,1638,1,0,2,0,2,1,"Ex",5,"Typ",1,"Attchd",2000,"Fin",2,495,"TA","TA","Y",230,68,0,7,2008,"WD","Normal"
60,"RL",85,10625,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",7,5,2003,2004,"Gable","CompShg","VinylSd","VinylSd","BrkFace",292,"Gd","TA","PConc","Gd","TA","No","GLQ",866,"Unf",0,132,998,"GasA","Ex","Y","SBrkr",1006,1040,2046,1,0,2,1,3,1,"Gd",8,"Typ",1,"BuiltIn",2003,"RFn",3,871,"TA","TA","Y",320,62,0,8,2008,"WD","Normal"
20,"RL",86,11210,"Pave","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",240,"Gd","TA","PConc","Gd","TA","Av","GLQ",20,"Unf",0,1594,1614,"GasA","Ex","Y","SBrkr",1614,0,1614,0,0,2,0,3,1,"Gd",7,"Typ",0,"Attchd",2005,"RFn",3,865,"TA","TA","Y",144,59,0,7,2006,"New","Partial"
80,"RL",75.2524746952499,10200,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","SLvl",5,8,1970,1970,"Hip","CompShg","HdBoard","HdBoard","None",0,"TA","Gd","PConc","Gd","TA","Av","ALQ",704,"Unf",0,160,864,"GasA","Ex","Y","SBrkr",904,0,904,0,0,1,0,3,1,"Gd",5,"Typ",0,"2Types",1979,"Unf",3,912,"TA","TA","Y",143,0,0,6,2008,"WD","Normal"
50,"RL",60,8382,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1.5Fin",4,5,1956,1956,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,832,832,"GasA","TA","Y","FuseA",832,505,1337,0,0,1,0,3,1,"TA",5,"Typ",0,"Attchd",1956,"Unf",1,263,"TA","TA","Y",0,0,0,2,2010,"WD","Normal"
80,"RL",88,15312,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","SLvl",6,5,1960,1960,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",54,"TA","TA","CBlock","TA","TA","Av","BLQ",588,"Unf",0,550,1138,"GasA","Ex","Y","SBrkr",1138,0,1138,0,1,1,0,3,1,"TA",6,"Typ",1,"Attchd",1960,"RFn",2,480,"TA","TA","Y",0,0,0,3,2009,"COD","Normal"
20,"RL",75,14587,"Pave","IR1","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",9,5,2008,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",284,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1498,1498,"GasA","Ex","Y","SBrkr",1506,0,1506,0,0,2,0,2,1,"Ex",6,"Typ",1,"Attchd",2008,"Fin",2,592,"TA","TA","Y",0,174,0,8,2008,"New","Partial"
60,"RL",60,7500,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1999,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,938,938,"GasA","Ex","Y","SBrkr",957,1342,2299,0,0,3,1,5,1,"TA",7,"Typ",1,"Attchd",1999,"Fin",2,482,"TA","TA","Y",188,30,0,8,2007,"WD","Normal"
20,"RL",60,7200,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",4,4,1971,1971,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Rec",20,"LwQ",620,224,864,"GasA","TA","Y","SBrkr",874,0,874,0,1,1,0,3,1,"TA",5,"Typ",0,"Detchd",1995,"Unf",2,576,"TA","TA","Y",63,0,0,3,2006,"WD","Normal"
20,"RL",78.5217011274758,12493,"Pave","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",4,5,1960,1960,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","ALQ",419,"Rec",306,375,1100,"GasA","TA","Y","SBrkr",1100,0,1100,1,0,1,0,3,1,"TA",6,"Typ",1,"Attchd",1960,"RFn",1,312,"TA","TA","Y",355,0,0,4,2008,"WD","Normal"
190,"RM",33,4456,"Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","2fmCon","2Story",4,5,1920,2008,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,736,736,"GasA","Gd","Y","SBrkr",736,716,1452,0,0,2,0,2,3,"TA",8,"Typ",0,"Attchd",1947.61720811125,"Fin",0,0,"Fa","Fa","N",0,0,102,6,2009,"New","Partial"
20,"RL",137,16492,"Pave","IR1","Lvl","AllPub","Corner","Gtl","NAmes","PosA","Norm","1Fam","1Story",6,6,1966,2002,"Gable","CompShg","BrkFace","Plywood","None",0,"Gd","TA","CBlock","TA","TA","No","ALQ",247,"Rec",713,557,1517,"GasA","Ex","Y","SBrkr",1888,0,1888,0,0,2,1,2,1,"Gd",6,"Mod",1,"Attchd",1966,"Fin",2,578,"TA","TA","Y",0,0,0,6,2010,"WD","Normal"
60,"RL",80,9938,"Pave","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story",7,5,1993,1994,"Gable","CompShg","MetalSd","MetalSd","BrkFace",246,"Gd","TA","PConc","Gd","TA","No","GLQ",750,"Unf",0,300,1050,"GasA","Ex","Y","SBrkr",1062,887,1949,1,0,2,1,3,1,"Gd",8,"Typ",1,"Attchd",1993,"Fin",2,574,"TA","TA","Y",156,90,0,6,2010,"WD","Normal"
60,"RL",50,9350,"Pave","Reg","Bnk","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","2Story",6,7,1946,1950,"Hip","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",342,"Unf",0,405,747,"GasA","Ex","Y","SBrkr",892,747,1639,0,0,1,1,3,1,"Gd",6,"Typ",1,"Detchd",1946,"Unf",1,240,"TA","TA","Y",0,50,0,7,2009,"WD","Normal"
20,"RL",76.4439588353501,8169,"Pave","Reg","Lvl","AllPub","Corner","Gtl","Sawyer","Feedr","Norm","1Fam","1Story",5,7,1966,1966,"Gable","CompShg","Plywood","Plywood","None",0,"TA","Gd","CBlock","TA","TA","No","Rec",216,"ALQ",435,261,912,"GasA","Ex","Y","SBrkr",912,0,912,1,0,1,0,3,1,"Gd",6,"Typ",0,"Detchd",1966,"Unf",1,315,"TA","TA","Y",204,0,0,7,2007,"WD","Normal"
20,"RL",80,10800,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",6,5,1963,1963,"Gable","CompShg","HdBoard","HdBoard","BrkFace",203,"TA","TA","CBlock","TA","TA","No","BLQ",617,"Rec",264,171,1052,"GasA","TA","Y","SBrkr",1052,0,1052,1,0,1,0,3,1,"TA",6,"Typ",0,"Attchd",1963,"Fin",1,311,"TA","TA","Y",0,133,0,2,2007,"COD","Normal"
20,"RL",80,8000,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1959,1959,"Gable","CompShg","BrkFace","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","BLQ",476,"Rec",488,292,1256,"GasA","Gd","Y","FuseA",1256,0,1256,1,0,1,1,3,1,"Gd",6,"Typ",0,"Attchd",1959,"RFn",1,311,"TA","TA","Y",0,240,0,5,2008,"WD","Normal"
20,"RL",61.4980704561231,115149,"Pave","IR2","Low","AllPub","CulDSac","Sev","ClearCr","Norm","Norm","1Fam","1Story",7,5,1971,2002,"Gable","CompShg","Plywood","Plywood","Stone",351,"TA","TA","CBlock","Gd","TA","Gd","GLQ",1219,"Unf",0,424,1643,"GasA","TA","Y","SBrkr",1824,0,1824,1,0,2,0,2,1,"Gd",5,"Typ",2,"Attchd",1971,"Unf",2,739,"TA","TA","Y",380,48,0,6,2007,"WD","Normal"
20,"RL",58,7250,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","1Story",6,5,1993,1993,"Gable","CompShg","HdBoard","HdBoard","BrkFace",45,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1181,1181,"GasA","Ex","Y","SBrkr",1190,0,1190,0,0,2,0,3,1,"Gd",6,"Typ",1,"Attchd",1993,"Unf",2,430,"TA","TA","Y",0,21,0,11,2009,"WD","Normal"
20,"RL",76,8314,"Pave","Reg","Lvl","AllPub","Corner","Gtl","Mitchel","Norm","Norm","1Fam","1Story",5,7,1982,1982,"Gable","CompShg","HdBoard","ImStucc","None",0,"TA","TA","CBlock","TA","TA","Gd","ALQ",546,"Unf",0,270,816,"GasA","TA","Y","SBrkr",816,0,816,0,0,1,0,2,1,"TA",5,"Typ",0,"Attchd",1982,"Unf",1,264,"TA","TA","Y",168,0,0,6,2007,"WD","Normal"
30,"RL",63,13907,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",5,6,1940,1969,"Gable","CompShg","WdShing","Wd Shng","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",290,"Unf",0,706,996,"GasA","Ex","Y","SBrkr",996,0,996,1,0,1,0,3,1,"TA",6,"Typ",1,"2Types",1954.22789183661,"Unf",0,0,"Ex","Ex","Y",144,0,0,7,2008,"WD","Normal"
120,"RL",53,3922,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Blmngtn","Norm","Norm","TwnhsE","1Story",7,5,2006,2007,"Gable","CompShg","WdShing","Wd Shng","BrkFace",72,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",0,1258,1258,"GasA","Ex","Y","SBrkr",1258,0,1258,0,0,2,0,2,1,"Gd",6,"Typ",1,"Attchd",2007,"Fin",3,648,"TA","TA","Y",144,16,0,6,2007,"New","Partial"
50,"RM",63,4347,"Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",6,8,1910,1950,"Gambrel","CompShg","MetalSd","MetalSd","None",0,"Gd","TA","BrkTil","Gd","Gd","No","Unf",0,"Unf",0,796,796,"GasA","Ex","Y","SBrkr",825,784,1609,0,0,1,0,3,1,"TA",7,"Typ",0,"Detchd",1910,"Unf",1,228,"Fa","Fa","N",0,182,0,6,2008,"WD","Normal"
60,"RL",80,9364,"Pave","Reg","Lvl","AllPub","Corner","Gtl","Sawyer","Norm","Norm","1Fam","2Story",6,7,1969,1969,"Gable","CompShg","HdBoard","HdBoard","Stone",143,"TA","TA","CBlock","TA","TA","No","ALQ",371,"Unf",0,292,663,"GasA","TA","Y","SBrkr",663,689,1352,0,0,1,1,4,1,"TA",7,"Typ",0,"Attchd",1969,"Fin",1,299,"TA","TA","Y",379,36,0,3,2010,"WD","Normal"
20,"RL",65,8767,"Pave","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",24,"Unf",0,1286,1310,"GasA","Ex","Y","SBrkr",1310,0,1310,0,0,2,0,3,1,"Gd",6,"Typ",1,"Attchd",2005,"Fin",2,400,"TA","TA","Y",0,0,0,7,2006,"New","Partial"
50,"RL",62,8707,"Pave","Reg","Lvl","AllPub","FR2","Gtl","Edwards","Feedr","Norm","1Fam","1.5Fin",4,5,1924,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,1093,1093,"GasA","TA","N","FuseF",1093,576,1669,0,0,1,1,4,1,"TA",9,"Min2",0,"Attchd",1924,"Unf",1,288,"Fa","TA","Y",0,0,56,5,2006,"WD","AdjLand"
60,"RL",84.5111935972694,12046,"Pave","IR1","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","2Story",6,6,1976,1976,"Gable","CompShg","Plywood","Plywood","BrkFace",298,"TA","TA","CBlock","TA","TA","No","LwQ",156,"Unf",0,692,848,"GasA","TA","Y","SBrkr",1118,912,2030,0,0,2,1,4,1,"Gd",8,"Typ",1,"Attchd",1976,"Fin",2,551,"TA","TA","Y",0,224,0,6,2007,"WD","Normal"
20,"RL",94.4250126296685,9000,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,3,1959,1959,"Gable","CompShg","Wd Sdng","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","GLQ",288,"Unf",0,718,1006,"GasA","TA","Y","SBrkr",1006,0,1006,0,0,1,0,3,1,"TA",5,"Typ",0,"2Types",1953.73747731889,"Fin",0,0,"Fa","Fa","Y",0,24,0,7,2008,"WD","Normal"
70,"C (all)",60,5280,"Pave","Reg","Lvl","AllPub","Corner","Gtl","IDOTRR","Feedr","Norm","1Fam","2Story",4,7,1895,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","Stone","Fa","Fa","No","Unf",0,"Unf",0,173,173,"GasA","Ex","N","SBrkr",825,536,1361,0,0,1,0,2,1,"TA",6,"Typ",0,"Detchd",1895,"Unf",1,185,"Fa","TA","Y",0,123,0,7,2008,"WD","Normal"
75,"RM",92,5520,"Pave","Reg","Lvl","AllPub","Corner","Gtl","OldTown","Norm","Norm","1Fam","2.5Fin",6,6,1912,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,755,755,"GasA","Ex","Y","SBrkr",929,929,2229,0,0,1,0,5,1,"TA",8,"Typ",0,"2Types",1923.92572521349,"Fin",0,0,"Ex","Fa","Y",0,198,30,7,2009,"WD","Abnorml"
160,"RM",24,1612,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Blueste","Norm","Norm","Twnhs","2Story",6,6,1980,1980,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","TA","No","Unf",0,"Unf",0,561,561,"GasA","TA","Y","SBrkr",561,668,1229,0,0,1,1,2,1,"TA",5,"Typ",1,"Attchd",1980,"Fin",2,462,"TA","TA","Y",154,0,0,7,2009,"WD","Normal"
20,"RL",80,9600,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1955,1955,"Hip","CompShg","HdBoard","HdBoard","BrkFace",176,"TA","Gd","CBlock","TA","TA","No","BLQ",368,"Unf",0,710,1078,"GasA","Ex","Y","SBrkr",1150,0,1150,1,0,1,0,2,1,"TA",6,"Typ",0,"Attchd",1955,"Fin",1,288,"TA","TA","Y",0,0,0,10,2007,"WD","Normal"
120,"RM",44,3811,"Pave","IR1","HLS","AllPub","Corner","Mod","Crawfor","Artery","Norm","TwnhsE","1Story",8,5,2004,2005,"Hip","CompShg","CemntBd","CmentBd","Stone",186,"Gd","TA","PConc","Ex","TA","Gd","GLQ",1373,"Unf",0,221,1594,"GasA","Ex","Y","SBrkr",1646,0,1646,1,1,2,0,2,1,"Gd",5,"Typ",1,"Attchd",2004,"Fin",2,525,"TA","TA","Y",128,53,0,5,2010,"WD","Normal"
90,"RL",64,7018,"Pave","Reg","Bnk","AllPub","Inside","Gtl","SawyerW","Norm","Norm","Duplex","1Story",5,5,1979,1979,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","Fa","Slab","Fa","Fa","Av","LwQ",0,"ALQ",0,0,0,"GasA","TA","Y","SBrkr",1535,0,1535,0,0,2,0,4,2,"TA",8,"Typ",0,"Attchd",1979,"Unf",2,410,"TA","TA","Y",0,0,0,6,2009,"WD","Alloca"
180,"RM",21,1491,"Pave","Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","TwnhsE","SFoyer",4,6,1972,1972,"Gable","CompShg","CemntBd","CmentBd","None",0,"TA","TA","CBlock","Gd","TA","Av","LwQ",150,"GLQ",480,0,630,"GasA","Ex","Y","SBrkr",630,0,630,1,0,1,0,1,1,"TA",3,"Typ",0,"2Types",1971.65681621808,"RFn",0,0,"Ex","Ex","Y",96,24,0,5,2010,"WD","Normal"
160,"RM",24,1612,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Blueste","Norm","Norm","Twnhs","2Story",6,6,1980,1980,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","TA","No","Unf",0,"Unf",0,561,561,"GasA","TA","Y","SBrkr",561,668,1229,0,0,1,1,2,1,"TA",5,"Typ",1,"Attchd",1980,"Fin",2,462,"TA","TA","Y",154,0,0,7,2009,"WD","Normal"
70,"FV",64.1097867173312,56600,"Pave","IR1","Low","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","2.5Unf",5,1,1900,1950,"Hip","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,686,686,"GasA","Ex","Y","SBrkr",1150,686,1836,0,0,2,0,4,1,"TA",7,"Maj1",0,"Detchd",1900,"Unf",1,288,"TA","Fa","N",0,0,0,1,2008,"WD","Normal"
75,"RL",60,6204,"Pave","Reg","Bnk","AllPub","Inside","Gtl","SWISU","Norm","Norm","1Fam","2.5Fin",4,5,1912,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Gd","TA","PConc","TA","Fa","No","Unf",0,"Unf",0,795,795,"GasA","TA","N","SBrkr",954,795,2230,1,0,1,0,5,1,"TA",10,"Typ",0,"Detchd",1997,"Unf",1,440,"TA","Gd","Y",0,188,0,3,2006,"WD","Normal"
60,"RL",80,10400,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","2Story",6,5,1972,1972,"Gable","CompShg","VinylSd","VinylSd","None",288,"TA","TA","CBlock","TA","TA","No","Rec",247,"Unf",0,485,732,"GasA","Gd","Y","SBrkr",1012,778,1790,1,0,1,2,4,1,"TA",8,"Min2",1,"Attchd",1972,"RFn",2,484,"TA","TA","Y",148,0,0,11,2006,"WD","Normal"
60,"RL",78.1046485999406,18800,"Pave","IR1","Lvl","AllPub","FR2","Gtl","NWAmes","Norm","Norm","1Fam","2Story",6,5,1976,1976,"Gable","CompShg","HdBoard","HdBoard","BrkFace",120,"TA","TA","PConc","Gd","TA","Mn","GLQ",712,"Unf",0,84,796,"GasA","TA","Y","SBrkr",790,784,1574,1,0,2,1,3,1,"TA",6,"Typ",1,"Attchd",1976,"Fin",2,566,"TA","TA","Y",306,111,0,7,2006,"WD","Normal"
120,"FV",37,3316,"Pave","IR1","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","TwnhsE","1Story",8,5,2005,2005,"Gable","CompShg","MetalSd","MetalSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",1039,"Unf",0,208,1247,"GasA","Ex","Y","SBrkr",1247,0,1247,1,0,1,1,1,1,"Gd",4,"Typ",1,"Attchd",2005,"Fin",2,550,"TA","TA","Y",0,84,0,4,2006,"WD","Normal"
50,"RL",60,8064,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Artery","Norm","1Fam","1.5Fin",6,5,1950,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","Av","Rec",621,"Unf",0,174,795,"GasA","Gd","N","SBrkr",765,368,1133,0,0,1,0,3,1,"TA",5,"Typ",0,"Detchd",1989,"Unf",2,900,"TA","TA","Y",0,0,0,12,2009,"COD","Abnorml"
160,"RM",21,1526,"Pave","Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","Twnhs","2Story",4,5,1970,1970,"Gable","CompShg","CemntBd","CmentBd","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,546,546,"GasA","TA","Y","SBrkr",546,546,1092,0,0,1,1,3,1,"TA",5,"Typ",0,"2Types",1972.83324075996,"RFn",0,0,"Ex","Ex","Y",0,34,0,6,2006,"WD","Normal"
50,"RM",75,9000,"Pave","Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Fin",5,5,1958,1958,"Gable","CompShg","WdShing","Wd Shng","BrkFace",162,"TA","TA","CBlock","TA","TA","No","ALQ",330,"Unf",0,821,1151,"GasA","Gd","Y","FuseA",1151,804,1955,0,0,2,0,4,1,"TA",7,"Typ",0,"Attchd",1958,"Fin",1,356,"TA","TA","Y",0,0,0,1,2008,"WD","Normal"
