"MSZoning","LotFrontage","Utilities","MasVnrType","MasVnrArea","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Electrical","BsmtFullBath","BsmtHalfBath","KitchenQual","Functional","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","MSSubClass","LotArea","Street","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","ExterQual","ExterCond","Foundation","Heating","HeatingQC","CentralAir","X1stFlrSF","X2ndFlrSF","GrLivArea","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","MoSold","YrSold","SaleType","SaleCondition"
"FV",60,"AllPub","BrkFace",260,"Gd","TA","Av","GLQ",1027,"Unf",0,587,1614,"SBrkr",1,0,"Ex","Typ","Attchd",2000,"Fin",2,495,"TA","TA",120,4765,"Pave","IR1","Lvl","Inside","Gtl","Somerst","Norm","Norm","TwnhsE","1Story",9,5,2000,2000,"Hip","CompShg","MetalSd","MetalSd","Gd","TA","PConc","GasA","Ex","Y",1638,0,1638,2,0,2,1,5,1,"Y",230,68,0,7,2008,"WD","Normal"
"RL",85,"AllPub","BrkFace",292,"Gd","TA","No","GLQ",866,"Unf",0,132,998,"SBrkr",1,0,"Gd","Typ","BuiltIn",2003,"RFn",3,871,"TA","TA",60,10625,"Pave","Reg","Lvl","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",7,5,2003,2004,"Gable","CompShg","VinylSd","VinylSd","Gd","TA","PConc","GasA","Ex","Y",1006,1040,2046,2,1,3,1,8,1,"Y",320,62,0,8,2008,"WD","Normal"
"RL",86,"AllPub","BrkFace",240,"Gd","TA","Av","GLQ",20,"Unf",0,1594,1614,"SBrkr",0,0,"Gd","Typ","Attchd",2005,"RFn",3,865,"TA","TA",20,11210,"Pave","IR1","Lvl","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","Gd","TA","PConc","GasA","Ex","Y",1614,0,1614,2,0,3,1,7,0,"Y",144,59,0,7,2006,"New","Partial"
"RL",95,"AllPub","None",0,"Gd","TA","Av","ALQ",704,"Unf",0,160,864,"SBrkr",0,0,"Gd","Typ","2Types",1979,"Unf",3,912,"TA","TA",80,10200,"Pave","Reg","Lvl","Inside","Gtl","Sawyer","Norm","Norm","1Fam","SLvl",5,8,1970,1970,"Hip","CompShg","HdBoard","HdBoard","TA","Gd","PConc","GasA","Ex","Y",904,0,904,1,0,3,1,5,0,"Y",143,0,0,6,2008,"WD","Normal"
"RL",60,"AllPub","None",0,"TA","TA","No","Unf",0,"Unf",0,832,832,"FuseA",0,0,"TA","Typ","Attchd",1956,"Unf",1,263,"TA","TA",50,8382,"Pave","Reg","Lvl","Inside","Gtl","NAmes","Norm","Norm","1Fam","1.5Fin",4,5,1956,1956,"Gable","CompShg","MetalSd","MetalSd","TA","TA","CBlock","GasA","TA","Y",832,505,1337,1,0,3,1,5,0,"Y",0,0,0,2,2010,"WD","Normal"
"RL",88,"AllPub","BrkFace",54,"TA","TA","Av","BLQ",588,"Unf",0,550,1138,"SBrkr",0,1,"TA","Typ","Attchd",1960,"RFn",2,480,"TA","TA",80,15312,"Pave","Reg","Lvl","Inside","Gtl","Sawyer","Norm","Norm","1Fam","SLvl",6,5,1960,1960,"Hip","CompShg","Wd Sdng","Wd Sdng","TA","TA","CBlock","GasA","Ex","Y",1138,0,1138,1,0,3,1,6,1,"Y",0,0,0,3,2009,"COD","Normal"
"RL",75,"AllPub","Stone",284,"Gd","TA","No","Unf",0,"Unf",0,1498,1498,"SBrkr",0,0,"Ex","Typ","Attchd",2008,"Fin",2,592,"TA","TA",20,14587,"Pave","IR1","Lvl","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",9,5,2008,2008,"Gable","CompShg","VinylSd","VinylSd","Gd","TA","PConc","GasA","Ex","Y",1506,0,1506,2,0,2,1,6,1,"Y",0,174,0,8,2008,"New","Partial"
"RL",60,"AllPub","None",0,"Gd","TA","No","Unf",0,"Unf",0,938,938,"SBrkr",0,0,"TA","Typ","Attchd",1999,"Fin",2,482,"TA","TA",60,7500,"Pave","Reg","Lvl","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1999,2003,"Gable","CompShg","VinylSd","VinylSd","TA","TA","PConc","GasA","Ex","Y",957,1342,2299,3,1,5,1,7,1,"Y",188,30,0,8,2007,"WD","Normal"
"RL",60,"AllPub","None",0,"TA","TA","No","Rec",20,"LwQ",620,224,864,"SBrkr",0,1,"TA","Typ","Detchd",1995,"Unf",2,576,"TA","TA",20,7200,"Pave","Reg","Lvl","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",4,4,1971,1971,"Gable","CompShg","HdBoard","HdBoard","TA","TA","CBlock","GasA","TA","Y",874,0,874,1,0,3,1,5,0,"Y",63,0,0,3,2006,"WD","Normal"
"RL",70,"AllPub","None",0,"TA","TA","No","ALQ",419,"Rec",306,375,1100,"SBrkr",1,0,"TA","Typ","Attchd",1960,"RFn",1,312,"TA","TA",20,12493,"Pave","IR1","Lvl","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",4,5,1960,1960,"Gable","CompShg","Wd Sdng","Wd Sdng","TA","TA","PConc","GasA","TA","Y",1100,0,1100,1,0,3,1,6,1,"Y",355,0,0,4,2008,"WD","Normal"
"RM",33,"AllPub","None",0,"TA","TA","No","Unf",0,"Unf",0,736,736,"SBrkr",0,0,"TA","Typ","Detchd",1926,"Unf",0,0,"TA","TA",190,4456,"Pave","Reg","Lvl","Inside","Gtl","OldTown","Norm","Norm","2fmCon","2Story",4,5,1920,2008,"Gable","CompShg","MetalSd","MetalSd","TA","TA","BrkTil","GasA","Gd","Y",736,716,1452,2,0,2,3,8,0,"N",0,0,102,6,2009,"New","Partial"
"RL",137,"AllPub","None",0,"TA","TA","No","ALQ",247,"Rec",713,557,1517,"SBrkr",0,0,"Gd","Mod","Attchd",1966,"Fin",2,578,"TA","TA",20,16492,"Pave","IR1","Lvl","Corner","Gtl","NAmes","PosA","Norm","1Fam","1Story",6,6,1966,2002,"Gable","CompShg","BrkFace","Plywood","Gd","TA","CBlock","GasA","Ex","Y",1888,0,1888,2,1,2,1,6,1,"Y",0,0,0,6,2010,"WD","Normal"
"RL",80,"AllPub","BrkFace",246,"Gd","TA","No","GLQ",750,"Unf",0,300,1050,"SBrkr",1,0,"Gd","Typ","Attchd",1993,"Fin",2,574,"TA","TA",60,9938,"Pave","Reg","Lvl","Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story",7,5,1993,1994,"Gable","CompShg","MetalSd","MetalSd","Gd","TA","PConc","GasA","Ex","Y",1062,887,1949,2,1,3,1,8,1,"Y",156,90,0,6,2010,"WD","Normal"
"RL",50,"AllPub","None",0,"TA","TA","No","BLQ",342,"Unf",0,405,747,"SBrkr",0,0,"Gd","Typ","Detchd",1946,"Unf",1,240,"TA","TA",60,9350,"Pave","Reg","Bnk","Inside","Gtl","Edwards","Norm","Norm","1Fam","2Story",6,7,1946,1950,"Hip","CompShg","MetalSd","MetalSd","TA","TA","CBlock","GasA","Ex","Y",892,747,1639,1,1,3,1,6,1,"Y",0,50,0,7,2009,"WD","Normal"
"RL",60,"AllPub","None",0,"TA","TA","No","Rec",216,"ALQ",435,261,912,"SBrkr",1,0,"Gd","Typ","Detchd",1966,"Unf",1,315,"TA","TA",20,8169,"Pave","Reg","Lvl","Corner","Gtl","Sawyer","Feedr","Norm","1Fam","1Story",5,7,1966,1966,"Gable","CompShg","Plywood","Plywood","TA","Gd","CBlock","GasA","Ex","Y",912,0,912,1,0,3,1,6,0,"Y",204,0,0,7,2007,"WD","Normal"
"RL",80,"AllPub","BrkFace",203,"TA","TA","No","BLQ",617,"Rec",264,171,1052,"SBrkr",1,0,"TA","Typ","Attchd",1963,"Fin",1,311,"TA","TA",20,10800,"Pave","Reg","Lvl","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",6,5,1963,1963,"Gable","CompShg","HdBoard","HdBoard","TA","TA","CBlock","GasA","TA","Y",1052,0,1052,1,0,3,1,6,0,"Y",0,133,0,2,2007,"COD","Normal"
"RL",80,"AllPub","None",0,"TA","TA","No","BLQ",476,"Rec",488,292,1256,"FuseA",1,0,"Gd","Typ","Attchd",1959,"RFn",1,311,"TA","TA",20,8000,"Pave","Reg","Lvl","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1959,1959,"Gable","CompShg","BrkFace","Wd Sdng","TA","TA","PConc","GasA","Gd","Y",1256,0,1256,1,1,3,1,6,0,"Y",0,240,0,5,2008,"WD","Normal"
"RL",71,"AllPub","Stone",351,"Gd","TA","Gd","GLQ",1219,"Unf",0,424,1643,"SBrkr",1,0,"Gd","Typ","Attchd",1971,"Unf",2,739,"TA","TA",20,115149,"Pave","IR2","Low","CulDSac","Sev","ClearCr","Norm","Norm","1Fam","1Story",7,5,1971,2002,"Gable","CompShg","Plywood","Plywood","TA","TA","CBlock","GasA","TA","Y",1824,0,1824,2,0,2,1,5,2,"Y",380,48,0,6,2007,"WD","Normal"
"RL",58,"AllPub","BrkFace",45,"Gd","TA","No","Unf",0,"Unf",0,1181,1181,"SBrkr",0,0,"Gd","Typ","Attchd",1993,"Unf",2,430,"TA","TA",20,7250,"Pave","Reg","Lvl","Inside","Gtl","Gilbert","Norm","Norm","1Fam","1Story",6,5,1993,1993,"Gable","CompShg","HdBoard","HdBoard","TA","TA","PConc","GasA","Ex","Y",1190,0,1190,2,0,3,1,6,1,"Y",0,21,0,11,2009,"WD","Normal"
"RL",76,"AllPub","None",0,"TA","TA","Gd","ALQ",546,"Unf",0,270,816,"SBrkr",0,0,"TA","Typ","Attchd",1982,"Unf",1,264,"TA","TA",20,8314,"Pave","Reg","Lvl","Corner","Gtl","Mitchel","Norm","Norm","1Fam","1Story",5,7,1982,1982,"Gable","CompShg","HdBoard","ImStucc","TA","TA","CBlock","GasA","TA","Y",816,0,816,1,0,2,1,5,0,"Y",168,0,0,6,2007,"WD","Normal"
"RL",63,"AllPub","None",0,"TA","TA","No","BLQ",290,"Unf",0,706,996,"SBrkr",1,0,"TA","Typ","Detchd",1923,"Unf",0,0,"Fa","TA",30,13907,"Pave","Reg","Lvl","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",5,6,1940,1969,"Gable","CompShg","WdShing","Wd Shng","TA","TA","CBlock","GasA","Ex","Y",996,0,996,1,0,3,1,6,1,"Y",144,0,0,7,2008,"WD","Normal"
"RL",53,"AllPub","BrkFace",72,"Ex","TA","Av","Unf",0,"Unf",0,1258,1258,"SBrkr",0,0,"Gd","Typ","Attchd",2007,"Fin",3,648,"TA","TA",120,3922,"Pave","Reg","Lvl","Inside","Gtl","Blmngtn","Norm","Norm","TwnhsE","1Story",7,5,2006,2007,"Gable","CompShg","WdShing","Wd Shng","Gd","TA","PConc","GasA","Ex","Y",1258,0,1258,2,0,2,1,6,1,"Y",144,16,0,6,2007,"New","Partial"
"RM",63,"AllPub","None",0,"Gd","Gd","No","Unf",0,"Unf",0,796,796,"SBrkr",0,0,"TA","Typ","Detchd",1910,"Unf",1,228,"Fa","Fa",50,4347,"Pave","Reg","Lvl","Inside","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",6,8,1910,1950,"Gambrel","CompShg","MetalSd","MetalSd","Gd","TA","BrkTil","GasA","Ex","Y",825,784,1609,1,0,3,1,7,0,"N",0,182,0,6,2008,"WD","Normal"
"RL",80,"AllPub","Stone",143,"TA","TA","No","ALQ",371,"Unf",0,292,663,"SBrkr",0,0,"TA","Typ","Attchd",1969,"Fin",1,299,"TA","TA",60,9364,"Pave","Reg","Lvl","Corner","Gtl","Sawyer","Norm","Norm","1Fam","2Story",6,7,1969,1969,"Gable","CompShg","HdBoard","HdBoard","TA","TA","CBlock","GasA","TA","Y",663,689,1352,1,1,4,1,7,0,"Y",379,36,0,3,2010,"WD","Normal"
"RL",65,"AllPub","None",0,"Gd","TA","Av","GLQ",24,"Unf",0,1286,1310,"SBrkr",0,0,"Gd","Typ","Attchd",2005,"Fin",2,400,"TA","TA",20,8767,"Pave","IR1","Lvl","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","Gd","TA","PConc","GasA","Ex","Y",1310,0,1310,2,0,3,1,6,1,"Y",0,0,0,7,2006,"New","Partial"
"RL",62,"AllPub","None",0,"TA","TA","No","Unf",0,"Unf",0,1093,1093,"FuseF",0,0,"TA","Min2","Attchd",1924,"Unf",1,288,"Fa","TA",50,8707,"Pave","Reg","Lvl","FR2","Gtl","Edwards","Feedr","Norm","1Fam","1.5Fin",4,5,1924,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","TA","TA","BrkTil","GasA","TA","N",1093,576,1669,1,1,4,1,9,0,"Y",0,0,56,5,2006,"WD","AdjLand"
"RL",80,"AllPub","BrkFace",298,"TA","TA","No","LwQ",156,"Unf",0,692,848,"SBrkr",0,0,"Gd","Typ","Attchd",1976,"Fin",2,551,"TA","TA",60,12046,"Pave","IR1","Lvl","Inside","Gtl","NWAmes","Norm","Norm","1Fam","2Story",6,6,1976,1976,"Gable","CompShg","Plywood","Plywood","TA","TA","CBlock","GasA","TA","Y",1118,912,2030,2,1,4,1,8,1,"Y",0,224,0,6,2007,"WD","Normal"
"RL",70,"AllPub","None",0,"TA","TA","No","GLQ",288,"Unf",0,718,1006,"SBrkr",0,0,"TA","Typ","Detchd",1923,"Unf",0,0,"TA","TA",20,9000,"Pave","Reg","Lvl","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,3,1959,1959,"Gable","CompShg","Wd Sdng","Plywood","TA","TA","CBlock","GasA","TA","Y",1006,0,1006,1,0,3,1,5,0,"Y",0,24,0,7,2008,"WD","Normal"
"C (all)",60,"AllPub","None",0,"TA","Fa","No","Unf",0,"Unf",0,173,173,"SBrkr",0,0,"TA","Typ","Detchd",1895,"Unf",1,185,"Fa","TA",70,5280,"Pave","Reg","Lvl","Corner","Gtl","IDOTRR","Feedr","Norm","1Fam","2Story",4,7,1895,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","TA","TA","Stone","GasA","Ex","N",825,536,1361,1,0,2,1,6,0,"Y",0,123,0,7,2008,"WD","Normal"
"RM",92,"AllPub","None",0,"TA","TA","No","Unf",0,"Unf",0,755,755,"SBrkr",0,0,"TA","Typ","Attchd",1906,"Fin",0,0,"TA","TA",75,5520,"Pave","Reg","Lvl","Corner","Gtl","OldTown","Norm","Norm","1Fam","2.5Fin",6,6,1912,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","TA","TA","CBlock","GasA","Ex","Y",929,929,2229,1,0,5,1,8,0,"Y",0,198,30,7,2009,"WD","Abnorml"
"RM",24,"AllPub","None",0,"Gd","TA","No","Unf",0,"Unf",0,561,561,"SBrkr",0,0,"TA","Typ","Attchd",1980,"Fin",2,462,"TA","TA",160,1612,"Pave","Reg","Lvl","Inside","Gtl","Blueste","Norm","Norm","Twnhs","2Story",6,6,1980,1980,"Gable","CompShg","MetalSd","MetalSd","TA","TA","CBlock","GasA","TA","Y",561,668,1229,1,1,2,1,5,1,"Y",154,0,0,7,2009,"WD","Normal"
"RL",80,"AllPub","BrkFace",176,"TA","TA","No","BLQ",368,"Unf",0,710,1078,"SBrkr",1,0,"TA","Typ","Attchd",1955,"Fin",1,288,"TA","TA",20,9600,"Pave","Reg","Lvl","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1955,1955,"Hip","CompShg","HdBoard","HdBoard","TA","Gd","CBlock","GasA","Ex","Y",1150,0,1150,1,0,2,1,6,0,"Y",0,0,0,10,2007,"WD","Normal"
"RM",44,"AllPub","Stone",186,"Ex","TA","Gd","GLQ",1373,"Unf",0,221,1594,"SBrkr",1,1,"Gd","Typ","Attchd",2004,"Fin",2,525,"TA","TA",120,3811,"Pave","IR1","HLS","Corner","Mod","Crawfor","Artery","Norm","TwnhsE","1Story",8,5,2004,2005,"Hip","CompShg","CemntBd","CmentBd","Gd","TA","PConc","GasA","Ex","Y",1646,0,1646,2,0,2,1,5,1,"Y",128,53,0,5,2010,"WD","Normal"
"RL",64,"AllPub","None",0,"Gd","TA","No","Unf",0,"Unf",0,0,0,"SBrkr",0,0,"TA","Typ","Attchd",1979,"Unf",2,410,"TA","TA",90,7018,"Pave","Reg","Bnk","Inside","Gtl","SawyerW","Norm","Norm","Duplex","1Story",5,5,1979,1979,"Gable","CompShg","HdBoard","HdBoard","TA","Fa","Slab","GasA","TA","Y",1535,0,1535,2,0,4,2,8,0,"Y",0,0,0,6,2009,"WD","Alloca"
"RM",21,"AllPub","None",0,"Gd","TA","Av","LwQ",150,"GLQ",480,0,630,"SBrkr",1,0,"TA","Typ","Attchd",1930,"Unf",0,0,"TA","TA",180,1491,"Pave","Reg","Lvl","Inside","Gtl","MeadowV","Norm","Norm","TwnhsE","SFoyer",4,6,1972,1972,"Gable","CompShg","CemntBd","CmentBd","TA","TA","CBlock","GasA","Ex","Y",630,0,630,1,0,1,1,3,0,"Y",96,24,0,5,2010,"WD","Normal"
"RM",24,"AllPub","None",0,"Gd","TA","No","Unf",0,"Unf",0,561,561,"SBrkr",0,0,"TA","Typ","Attchd",1980,"Fin",2,462,"TA","TA",160,1612,"Pave","Reg","Lvl","Inside","Gtl","Blueste","Norm","Norm","Twnhs","2Story",6,6,1980,1980,"Gable","CompShg","MetalSd","MetalSd","TA","TA","CBlock","GasA","TA","Y",561,668,1229,1,1,2,1,5,1,"Y",154,0,0,7,2009,"WD","Normal"
"RL",80,"AllPub","None",0,"TA","TA","No","Unf",0,"Unf",0,686,686,"SBrkr",0,0,"TA","Maj1","Detchd",1900,"Unf",1,288,"TA","Fa",70,56600,"Pave","IR1","Low","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","2.5Unf",5,1,1900,1950,"Hip","CompShg","Wd Sdng","Wd Sdng","TA","TA","BrkTil","GasA","Ex","Y",1150,686,1836,2,0,4,1,7,0,"N",0,0,0,1,2008,"WD","Normal"
"RL",60,"AllPub","None",0,"TA","Fa","No","Unf",0,"Unf",0,795,795,"SBrkr",1,0,"TA","Typ","Detchd",1997,"Unf",1,440,"TA","Gd",75,6204,"Pave","Reg","Bnk","Inside","Gtl","SWISU","Norm","Norm","1Fam","2.5Fin",4,5,1912,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","Gd","TA","PConc","GasA","TA","N",954,795,2230,1,0,5,1,10,0,"Y",0,188,0,3,2006,"WD","Normal"
"RL",80,"AllPub","None",288,"TA","TA","No","Rec",247,"Unf",0,485,732,"SBrkr",1,0,"TA","Min2","Attchd",1972,"RFn",2,484,"TA","TA",60,10400,"Pave","Reg","Lvl","Inside","Gtl","NWAmes","Norm","Norm","1Fam","2Story",6,5,1972,1972,"Gable","CompShg","VinylSd","VinylSd","TA","TA","CBlock","GasA","Gd","Y",1012,778,1790,1,2,4,1,8,1,"Y",148,0,0,11,2006,"WD","Normal"
"RL",69,"AllPub","BrkFace",120,"Gd","TA","Mn","GLQ",712,"Unf",0,84,796,"SBrkr",1,0,"TA","Typ","Attchd",1976,"Fin",2,566,"TA","TA",60,18800,"Pave","IR1","Lvl","FR2","Gtl","NWAmes","Norm","Norm","1Fam","2Story",6,5,1976,1976,"Gable","CompShg","HdBoard","HdBoard","TA","TA","PConc","GasA","TA","Y",790,784,1574,2,1,3,1,6,1,"Y",306,111,0,7,2006,"WD","Normal"
"FV",37,"AllPub","None",0,"Gd","TA","No","GLQ",1039,"Unf",0,208,1247,"SBrkr",1,0,"Gd","Typ","Attchd",2005,"Fin",2,550,"TA","TA",120,3316,"Pave","IR1","Lvl","Inside","Gtl","Somerst","Norm","Norm","TwnhsE","1Story",8,5,2005,2005,"Gable","CompShg","MetalSd","MetalSd","Gd","TA","PConc","GasA","Ex","Y",1247,0,1247,1,1,1,1,4,1,"Y",0,84,0,4,2006,"WD","Normal"
"RL",60,"AllPub","None",0,"TA","TA","Av","Rec",621,"Unf",0,174,795,"SBrkr",0,0,"TA","Typ","Detchd",1989,"Unf",2,900,"TA","TA",50,8064,"Pave","Reg","Lvl","Inside","Gtl","NAmes","Artery","Norm","1Fam","1.5Fin",6,5,1950,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","TA","TA","CBlock","GasA","Gd","N",765,368,1133,1,0,3,1,5,0,"Y",0,0,0,12,2009,"COD","Abnorml"
"RM",21,"AllPub","None",0,"TA","TA","No","Unf",0,"Unf",0,546,546,"SBrkr",0,0,"TA","Typ","Attchd",1921,"Unf",0,0,"TA","TA",160,1526,"Pave","Reg","Lvl","Inside","Gtl","MeadowV","Norm","Norm","Twnhs","2Story",4,5,1970,1970,"Gable","CompShg","CemntBd","CmentBd","TA","TA","CBlock","GasA","TA","Y",546,546,1092,1,1,3,1,5,0,"Y",0,34,0,6,2006,"WD","Normal"
"RM",75,"AllPub","BrkFace",162,"TA","TA","No","ALQ",330,"Unf",0,821,1151,"FuseA",0,0,"TA","Typ","Attchd",1958,"Fin",1,356,"TA","TA",50,9000,"Pave","Reg","Lvl","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Fin",5,5,1958,1958,"Gable","CompShg","WdShing","Wd Shng","TA","TA","CBlock","GasA","Gd","Y",1151,804,1955,2,0,4,1,7,0,"Y",0,0,0,1,2008,"WD","Normal"
